ID;Sexe;Niveau;Filiere;Sport_trimestre;Precisez1;Etat;Sport_lycee;Ajout_ sport;Sport_etude;Sport_dehors;Foot;Basket;Volley;Boxe;Tennis_de_table;Autre1;Precisez2;Pourquoi;Lycee;Club;Chez_soi;Salle_sport;Exterieur;Interieur;Autre2;Precisez3;Nbre_heure;Competition
45;1;3;2;5;NA;3;6;Hip-hop;0;1;0;0;0;0;0;1;Hip-hop;Aime bien;1;1;1;0;0;1;0;NA;3;0
46;0;3;1;7;Ping-pong;2;4;Foot;0;1;1;0;0;0;0;0;NA;Détente;1;1;0;0;0;1;0;NA;2;0
47;1;1;6;7;Ping-pong;4;8;Basket;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
48;0;1;4;7;Ping-pong;2;7;Basket;0;1;0;1;0;0;0;0;NA;Aime bien;1;1;0;0;1;1;0;NA;5;1
49;0;3;2;7;Course d'orientation;2;3;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
50;1;3;1;7;Musculation;3;5;Golf;1;0;0;0;0;0;0;0;NA;Pas d'argent;1;0;0;0;0;0;0;NA;1;0
51;0;1;5;7;Musculation;3;8;Foot;1;1;1;0;0;0;0;0;NA;Aime bien;1;1;1;0;1;0;0;NA;6;1
52;1;2;3;4;NA;3;9;Vélo;1;1;0;0;0;0;0;1;Vélo;Détente;1;1;0;0;1;0;0;NA;4;1
53;0;1;6;7;Musculation;3;7;Gymnastique;0;1;0;0;0;0;0;1;Motocross;Liberté;1;1;0;0;0;0;0;NA;4;1
54;0;1;7;7;Musculation, Danse;4;7;Gymnastique;0;0;0;0;0;0;0;0;NA;Dispense maladie;0;0;0;0;0;0;0;NA;0;0
55;1;1;7;5;NA;3;7;Basket;1;1;0;1;0;0;0;0;NA;Passion;1;1;0;0;0;0;0;NA;6;1
56;1;2;7;5;NA;3;6;Boxe;0;1;0;0;0;0;0;1;Musculation;Aime bien;1;0;0;1;0;0;0;NA;7;1
57;1;2;7;7;Ping-pong;3;8;Rugby;0;1;0;0;0;0;0;1;Rugby;Passion;1;1;0;0;0;0;0;NA;3;0
58;1;1;7;7;Musculation ;4;7;NA;0;1;0;1;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;0
59;0;3;7;5;NA;3;5;NA;0;0;0;0;0;0;0;0;NA;Dispense maladie;0;0;0;0;0;0;0;NA;1;0
